lemma,poscode,surface
BALLA,3,BALLA
BALLADORI,3,BALLADORI
BALLARINO,3,BALLARINO
BALLERINI,3,BALLERINI
BALOCCO,3,BALOCCO
BALSAMELLO,3,BALSAMELLO
BALSARI,3,BALSARI
BALZARINI,3,BALZARINI
BAMPA,3,BAMPA
BANDERALI,3,BANDERALI
BANDINO,3,BANDINO
BANELLA,3,BANELLA
BANFI,3,BANFI
BARACCO,3,BARACCO
BARALDO,3,BARALDO
BARATTIERI,3,BARATTIERI
BARBA,3,BARBA
BARBAGLI,3,BARBAGLI
BARBARESCO,3,BARBARESCO
BARBARINO,3,BARBARINO
BARBE',3,BARBE'
BARBERINI,3,BARBERINI
BARBIERI,3,BARBIERI
BARBOLINI,3,BARBOLINI
BARBONETTI,3,BARBONETTI
BARBOSI,3,BARBOSI
BARDELLI,3,BARDELLI
BARDINO,3,BARDINO
BARDONI,3,BARDONI
BARELLO,3,BARELLO
BARETTI,3,BARETTI
BARGELLINI,3,BARGELLINI
BARIGOZZI,3,BARIGOZZI
BARISON,3,BARISON
BARNABA,3,BARNABA
BARNABO',3,BARNABO'
BAROLI,3,BAROLI
BARONCINI,3,BARONCINI
BARONTI,3,BARONTI
BARRECA,3,BARRECA
BARRI,3,BARRI
BARRUFFO,3,BARRUFFO
BARTALINI,3,BARTALINI
BARTEZZAGHI,3,BARTEZZAGHI
BARTOLI,3,BARTOLI
BARTOLOTTI,3,BARTOLOTTI
BARUFFINI,3,BARUFFINI
BARZAGHI,3,BARZAGHI
BASANA,3,BASANA
BASCHENIS,3,BASCHENIS
BASILI,3,BASILI
BASILIO,3,BASILIO
BASSAN,3,BASSAN
BASSI,3,BASSI
BASTANZA,3,BASTANZA
BASTIANI,3,BASTIANI
BATELLI,3,BATELLI
BATTAGLINO,3,BATTAGLINO
BATTELLI,3,BATTELLI
BATTEZZATO,3,BATTEZZATO
BATTIATO,3,BATTIATO
BATTIPAGLIA,3,BATTIPAGLIA
BATTISTELLI,3,BATTISTELLI
BATTO,3,BATTO
BAU',3,BAU'
BAUDINO,3,BAUDINO
BAUDONI,3,BAUDONI
BAVESTRELLO,3,BAVESTRELLO
BAZZAN,3,BAZZAN
BAZZARA,3,BAZZARA
BAZZO,3,BAZZO
BEARZI,3,BEARZI
BECALOSSI,3,BECALOSSI
BECCARINI,3,BECCARINI
BECCHERO,3,BECCHERO
BECHERE,3,BECHERE
BEDIN,3,BEDIN
BEDONI,3,BEDONI
BELARDETTI,3,BELARDETTI
BELFIORE,3,BELFIORE
BELGIOVINE,3,BELGIOVINE
BELLANDA,3,BELLANDA
BELLANI,3,BELLANI
BELLATO,3,BELLATO
BELLEBONI,3,BELLEBONI
BELLERI,3,BELLERI
BELLETTO,3,BELLETTO
BELLIBONI,3,BELLIBONI
BELLINZONI,3,BELLINZONI
BELLOCCHIO,3,BELLOCCHIO
BELLOMO,3,BELLOMO
BELLOTTI,3,BELLOTTI
BELLUOMINI,3,BELLUOMINI
BELLUZZI,3,BELLUZZI
BELMONTE,3,BELMONTE
BELTRAMA,3,BELTRAMA
BELTRAMINI,3,BELTRAMINI
BENATI,3,BENATI
BENCIVEGNA,3,BENCIVEGNA
BENEDETTI,3,BENEDETTI
BENELLI,3,BENELLI
BENEVELLO,3,BENEVELLO
BENFATTI,3,BENFATTI
BENINCASA,3,BENINCASA
BENIZZI,3,BENIZZI
BENTIVEGNI,3,BENTIVEGNI
BENTIVOGLIO,3,BENTIVOGLIO
BENVENUTI,3,BENVENUTI
BENZO,3,BENZO
BENZONI,3,BENZONI
BEOZZI,3,BEOZZI
BERALDINI,3,BERALDINI
BERCELLESI,3,BERCELLESI
BERGALLI,3,BERGALLI
BERGAMASCO,3,BERGAMASCO
BERGAMINI,3,BERGAMINI
BERGNACH,3,BERGNACH
BERGOLI,3,BERGOLI
BERGONZI,3,BERGONZI
BERISSO,3,BERISSO
BERLINGERI,3,BERLINGERI
BERLINGIERE,3,BERLINGIERE
BERLUSCONI,3,BERLUSCONI
BERNABA,3,BERNABA
BERNARDI,3,BERNARDI
BERNARDO,3,BERNARDO
BERNAZZI,3,BERNAZZI
BERNINI,3,BERNINI
BERNUZZI,3,BERNUZZI
BERRO,3,BERRO
BERSAN,3,BERSAN
BERSELLI,3,BERSELLI
BERSEZIO,3,BERSEZIO
BERTAGNA,3,BERTAGNA
BERTAGNINI,3,BERTAGNINI
BERTAGNONI,3,BERTAGNONI
BERTANZETTI,3,BERTANZETTI
BERTARINI,3,BERTARINI
BERTEA,3,BERTEA
BERTINI,3,BERTINI
BERTOCCHINI,3,BERTOCCHINI
BERTOLA,3,BERTOLA
BERTOLDI,3,BERTOLDI
BERTOLI,3,BERTOLI
BERTOLLI,3,BERTOLLI
BERTOLO,3,BERTOLO
BERTON,3,BERTON
BERTONE,3,BERTONE
BERTOSSI,3,BERTOSSI
BERTOTTI,3,BERTOTTI
BERTUCCIO,3,BERTUCCIO
BERTULLI,3,BERTULLI
BERTUZZO,3,BERTUZZO
BERZI,3,BERZI
BESANI,3,BESANI
BESCO,3,BESCO
BESSON,3,BESSON
BETTAZZA,3,BETTAZZA
BETTE',3,BETTE'
BETTIGA,3,BETTIGA
BETTINI,3,BETTINI
BETTIOLO,3,BETTIOLO
BEVERINA,3,BEVERINA
BEZZO,3,BEZZO
BIA,3,BIA
BIADIGO,3,BIADIGO
BIAGINI,3,BIAGINI
BIAMONTI,3,BIAMONTI
BIANCHEDI,3,BIANCHEDI
BIANCHINI,3,BIANCHINI
BIASI,3,BIASI
BIASIO,3,BIASIO
BIAVASCHI,3,BIAVASCHI
BICEGO,3,BICEGO
BIELLI,3,BIELLI
BIGATTI,3,BIGATTI
BIGIOGERO,3,BIGIOGERO
BIGLIA,3,BIGLIA
BIGNAMINI,3,BIGNAMINI
BIGOLOTTI,3,BIGOLOTTI
BILOTTO,3,BILOTTO
BINDA,3,BINDA
BINETTO,3,BINETTO
BINOTTI,3,BINOTTI
BIONDI,3,BIONDI
BIRAGHI,3,BIRAGHI
BIROLINI,3,BIROLINI
BISANTE,3,BISANTE
BISCEGLI,3,BISCEGLI
BISCONTI,3,BISCONTI
BISSACCO,3,BISSACCO
BISSARO,3,BISSARO
BITI,3,BITI
BIZARRO,3,BIZARRO
BIZZARRO,3,BIZZARRO
BIZZOCA,3,BIZZOCA
BLAIOTTA,3,BLAIOTTA
BLEDIG,3,BLEDIG
BOBBIESE,3,BOBBIESE
BOCALETTI,3,BOCALETTI
BOCCACCIO,3,BOCCACCIO
BOCCALETTI,3,BOCCALETTI
BOCCANEGRA,3,BOCCANEGRA
BOCCARDO,3,BOCCARDO
BOCCHIOLA,3,BOCCHIOLA
BOCCOTTI,3,BOCCOTTI
BODINI,3,BODINI
BOERCHIO,3,BOERCHIO
BOGGI,3,BOGGI
BOGLIO,3,BOGLIO
BOIOCCHI,3,BOIOCCHI
BOLDRIN,3,BOLDRIN
BOLIA,3,BOLIA
BOLIS,3,BOLIS
BOLOGNA,3,BOLOGNA
BOLOGNESI,3,BOLOGNESI
BOLZONARO,3,BOLZONARO
BOMBARDIERE,3,BOMBARDIERE
BOMBINI,3,BOMBINI
BONA,3,BONA
BONACCIO,3,BONACCIO
BONACINA,3,BONACINA
BONACORSO,3,BONACORSO
BONADEI,3,BONADEI
BONADONNA,3,BONADONNA
BONAIUTI,3,BONAIUTI
BONALDA,3,BONALDA
BONALUMI,3,BONALUMI
BONAPACE,3,BONAPACE
BONATO,3,BONATO
BONAVERA,3,BONAVERA
BONCI,3,BONCI
BONDANZA,3,BONDANZA
BONDIOLI,3,BONDIOLI
BONETTI,3,BONETTI
BONFANT,3,BONFANT
BONFANTINI,3,BONFANTINI
BONFIGLIOLI,3,BONFIGLIOLI
BONGIOANNI,3,BONGIOANNI
BONGIOVANNI,3,BONGIOVANNI
BONIFACI,3,BONIFACI
BONIFAZIO,3,BONIFAZIO
BONIN,3,BONIN
BONINSEGNA,3,BONINSEGNA
BONITATIBUS,3,BONITATIBUS
BONIZZONI,3,BONIZZONI
BONOLO,3,BONOLO
BONOMO,3,BONOMO
BONSIGNORE,3,BONSIGNORE
BONTEMPO,3,BONTEMPO
BONVINI,3,BONVINI
BORAGNI,3,BORAGNI
BORDIGNONI,3,BORDIGNONI
BORELLO,3,BORELLO
BORGHETTI,3,BORGHETTI
BORGHI,3,BORGHI
BORGIANI,3,BORGIANI
BORIOTTI,3,BORIOTTI
BORMOLINI,3,BORMOLINI
BORRACCIO,3,BORRACCIO
BORRELLI,3,BORRELLI
BORRIELLO,3,BORRIELLO
BORSANI,3,BORSANI
BORSOTTI,3,BORSOTTI
BORTOLI,3,BORTOLI
BORZI,3,BORZI
BORZILLO,3,BORZILLO
BOSCARDELLI,3,BOSCARDELLI
BOSCARELLO,3,BOSCARELLO
BOSCHETTI,3,BOSCHETTI
BOSCHINI,3,BOSCHINI
BOSCOLO,3,BOSCOLO
BOSETTI,3,BOSETTI
BOSIO,3,BOSIO
BOSSETTO,3,BOSSETTO
BOSSOLETTI,3,BOSSOLETTI
BOTERO,3,BOTERO
BOTTAI,3,BOTTAI
BOTTARINI,3,BOTTARINI
BOTTERO,3,BOTTERO
BOTTICELLI,3,BOTTICELLI
BOTTIN,3,BOTTIN
BOTTINERI,3,BOTTINERI
BOTTINO,3,BOTTINO
BOTTONE,3,BOTTONE
BOTTURI,3,BOTTURI
BOVERI,3,BOVERI
BOVINO,3,BOVINO
BOZZA,3,BOZZA
BOZZO,3,BOZZO
BRACACCIA,3,BRACACCIA
BRACCI,3,BRACCI
BRACESCHI,3,BRACESCHI
BRAGA,3,BRAGA
BRAGHIERI,3,BRAGHIERI
BRAMATI,3,BRAMATI
BRAMBILLA,3,BRAMBILLA
BRANCATI,3,BRANCATI
BRANDELLI,3,BRANDELLI
BRANDIMARTE,3,BRANDIMARTE
BRANDO,3,BRANDO
BRANDOLESIO,3,BRANDOLESIO
BRANDOLISIO,3,BRANDOLISIO
BRASCA,3,BRASCA
BRATTA,3,BRATTA
BRATUS,3,BRATUS
BRAVI,3,BRAVI
BRAYDE,3,BRAYDE
BREGALLINI,3,BREGALLINI
BREMBILLA,3,BREMBILLA
BRENDOLINI,3,BRENDOLINI
BRERO,3,BRERO
BRESOLIN,3,BRESOLIN
BRIANTA,3,BRIANTA
BRIANZOLI,3,BRIANZOLI
BRIGNOLE,3,BRIGNOLE
BRINI,3,BRINI
BRIONE,3,BRIONE
BRIOTTI,3,BRIOTTI
BRISCA,3,BRISCA
BRIVIO,3,BRIVIO
BRIZZOLARA,3,BRIZZOLARA
BROCCHETTA,3,BROCCHETTA
BRODA,3,BRODA
BROGGI,3,BROGGI
BROGLIA,3,BROGLIA
BROGNI,3,BROGNI
BROILO,3,BROILO
BRUGNARO,3,BRUGNARO
BRUGNOLI,3,BRUGNOLI
BRUNDU,3,BRUNDU
BRUNELLO,3,BRUNELLO
BRUNETTO,3,BRUNETTO
BRUSASCHETTO,3,BRUSASCHETTO
BRUSCA,3,BRUSCA
BRUSEGHIN,3,BRUSEGHIN
BRUSONE,3,BRUSONE
BRUZZESE,3,BRUZZESE
BRUZZONE,3,BRUZZONE
BUCCI,3,BUCCI
BUCHINIZ,3,BUCHINIZ
BUFALINO,3,BUFALINO
BUGLIA,3,BUGLIA
BUGNI,3,BUGNI
BULDREGHINI,3,BULDREGHINI
BULFONE,3,BULFONE
BULGARI,3,BULGARI
BULUGGIU,3,BULUGGIU
BUONADONNA,3,BUONADONNA
BUONFIGLIO,3,BUONFIGLIO
BUONO,3,BUONO
BUONTEMPO,3,BUONTEMPO
BURANELLO,3,BURANELLO
BURATTINI,3,BURATTINI
BURGAZZI,3,BURGAZZI
BURO,3,BURO
BUS,3,BUS
BUSANA,3,BUSANA
BUSCAGLIONE,3,BUSCAGLIONE
BUSCEMI,3,BUSCEMI
BUSIOL,3,BUSIOL
