lemma,poscode,surface
Luca,3,Luca
Lisandro,3,Lisandro
Lallo,3,Lallo
Leopoldo,3,Leopoldo
Lindoro,3,Lindoro
Lorenzo,3,Lorenzo
Loris,3,Loris
Laerte,3,Laerte
Lauriano,3,Lauriano
Ludano,3,Ludano
Ludovico,3,Ludovico
Lucio,3,Lucio
Licerio,3,Licerio
Leo,3,Leo
Ladislao,3,Ladislao
Luigi,3,Luigi
Linceo,3,Linceo
Lullo,3,Lullo
Luperio,3,Luperio
Luciano,3,Luciano
Lazzaro,3,Lazzaro
Libero,3,Libero
Leonzio,3,Leonzio
Livio,3,Livio
Liborio,3,Liborio
Lucrezio,3,Lucrezio
Lucilio,3,Lucilio
Lionello,3,Lionello
Luciolo,3,Luciolo
Lucidio,3,Lucidio
Leonida,3,Leonida
Luperco,3,Luperco
Longino,3,Longino
Lussorio,3,Lussorio
Lupo,3,Lupo
Liberto,3,Liberto
Magda,3,Magda
Maia,3,Maia
Margherita,3,Margherita
Maddalena,3,Maddalena
Mara,3,Mara
Macrina,3,Macrina
Madda,3,Madda
Maria,3,Maria
Mafalda,3,Mafalda
Malvina,3,Malvina
Melissa,3,Melissa
Maida,3,Maida
Marcella,3,Marcella
Marfisia,3,Marfisia
Mimi,3,Mimi
Marilia,3,Marilia
Maurizia,3,Maurizia
Medea,3,Medea
Mercuria,3,Mercuria
Michela,3,Michela
Micaela,3,Micaela
Micol,3,Micol
Milena,3,Milena
Mila,3,Mila
Marciana,3,Marciana
Macaria,3,Macaria
Melania,3,Melania
Milica,3,Milica
Milka,3,Milka
Merina,3,Merina
Maurilia,3,Maurilia
Milva,3,Milva
Minerva,3,Minerva
Martina,3,Martina
Marzia,3,Marzia
Matilde,3,Matilde
Marika,3,Marika
Marina,3,Marina
Marinella,3,Marinella
Marilena,3,Marilena
Marisa,3,Marisa
Marta,3,Marta
Moira,3,Moira
Marica,3,Marica
Maura,3,Maura
Mia,3,Mia
Mariuccia,3,Mariuccia
Malia,3,Malia
Marianna,3,Marianna
Miriam,3,Miriam
